Date,Australia,,Belgium,,Bulgaria,,Canada,,France,,Germany,,Greece,,Hong Kong,,Ireland,,Italy,,Japan,,Malaysia,,Mexico,,Netherlands,,New Zealand,,Portugal,,Singapore,,South Africa,,Spain,,Turkey,,UK,,US
3/9/1973,146.84,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,96.9,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,NA,3/9/1973,776.74,3/9/1973,89.26
3/12/1973,146.76,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,95.04,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,NA,3/12/1973,762.43,3/12/1973,92.88
3/13/1973,146.79,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,93.14,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,NA,3/13/1973,776.42,3/13/1973,95.03
3/14/1973,146.79,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,91.44,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,NA,3/14/1973,783.63,3/14/1973,96.23
3/15/1973,146.84,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,94.94,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,NA,3/15/1973,814.48,3/15/1973,95.06
3/16/1973,144.63,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,93.36,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,NA,3/16/1973,816.72,3/16/1973,95.36
3/19/1973,131.47,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,91.3,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,NA,3/19/1973,824.35,3/19/1973,93.76
3/20/1973,134.38,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,92.96,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,NA,3/20/1973,833.64,3/20/1973,93.48
3/21/1973,139.53,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,93.32,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,NA,3/21/1973,856.63,3/21/1973,92.21
3/22/1973,139.4,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,94.25,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,NA,3/22/1973,848.28,3/22/1973,90.64
